City,Business Type,Company Name,Physical Address,About Section,Website,General Email,General Phone,Personnel 1 Name,Personnel 1 Title,Personnel 1 Email,Personnel 2 Name,Personnel 2 Title,Personnel 2 Email
Birmingham,Legal,Adams & Reese LLP,"1901 6th Ave N #1100, Birmingham, AL 35203",A multidisciplinary law firm with a strong focus on business and litigation.,https://www.adamsandreese.com/,info@adamsandreese.com,(205) 250-5000,Todd D. Engelhardt,Partner,todd.engelhardt@arlaw.com,Richard P. Carmody,Counsel,richard.carmody@arlaw.com
Birmingham,Legal,Balch & Bingham LLP,"1901 6th Ave N #1500, Birmingham, AL 35203","A corporate law firm known for its work in energy, finance, and litigation.",https://www.balch.com/,info@balch.com,(205) 251-8100,Stan Blanton,Managing Partner,sblanton@balch.com,Alan Rogers,Partner,arogers@balch.com
Birmingham,Legal,Bradley Arant Boult Cummings LLP,"1819 5th Ave N, Birmingham, AL 35203","One of the Southeast's largest law firms, headquartered in downtown Birmingham.",https://www.bradley.com/,info@bradley.com,(205) 521-8000,Jonathan Skeeters,Managing Partner,jskeeters@bradley.com,Dawn Helms Sharff,Partner,dsharff@bradley.com
Birmingham,Legal,Burr & Forman LLP,"420 20th St N #3400, Birmingham, AL 35203",A regional powerhouse firm with extensive experience in manufacturing and financial services.,https://www.burr.com/,info@burr.com,(205) 251-3000,Ed Christian,CEO,echristian@burr.com,Kignsley Taft,Partner,ktaft@burr.com
Birmingham,Legal,Cory Watson Attorneys,"2131 Magnolia Ave S, Birmingham, AL 35205",A nationally recognized personal injury firm fighting for consumer rights.,https://www.corywatson.com/,info@corywatson.com,(205) 328-2200,Ernest Cory,Managing Shareholder,ecory@corywatson.com,Leila Watson,Shareholder,lwatson@corywatson.com
Birmingham,Legal,"Farris, Riley & Pitt, LLP","505 20th St N #1700, Birmingham, AL 35203",A personal injury law firm dedicated to helping accident victims in Alabama.,https://www.frplegal.com/,info@frplegal.com,(205) 324-1212,Kirby Farris,Partner,kfarris@frplegal.com,Ken Riley,Partner,kriley@frplegal.com
Birmingham,Legal,"Hare, Wynn, Newell & Newton, LLP","2025 3rd Ave N #800, Birmingham, AL 35203",A historic plaintiff's firm with over 130 years of litigation experience.,https://www.hwnn.com/,info@hwnn.com,(205) 328-5330,Leon Ashford,Partner,leon@hwnn.com,Scott Powell,Partner,scott@hwnn.com
Birmingham,Legal,Holland & Knight,"1901 6th Ave N #1400, Birmingham, AL 35203",A global law firm with a Birmingham office focused on financial services and litigation.,https://www.hklaw.com/,info@hklaw.com,(205) 226-5700,Colin H. Luke,Executive Partner,colin.luke@hklaw.com,James L. Phillips,Partner,jim.phillips@hklaw.com
Birmingham,Legal,"Lightfoot, Franklin & White LLC","400 20th St N, Birmingham, AL 35203",A litigation-only law firm known for handling high-stakes complex cases.,https://www.lightfootlaw.com/,info@lightfootlaw.com,(205) 581-0700,Melody Eagan,Managing Partner,meagan@lightfootlaw.com,Harlan Prater,Partner,hprater@lightfootlaw.com
Birmingham,Legal,Maynard Nexsen,"1901 6th Ave N #2400, Birmingham, AL 35203",A full-service national law firm with deep roots in the Birmingham business community.,https://www.maynardnexsen.com/,info@maynardnexsen.com,(205) 254-1000,Jeff Grantham,Managing Shareholder,jgrantham@maynardnexsen.com,Jim Childs,Shareholder,jchilds@maynardnexsen.com
Birmingham,Medical,Alabama Regional Medical Services,"712 25th St N, Birmingham, AL 35203",A community health center providing affordable primary and preventive care.,https://armsbham.org/,info@armsbham.com,(205) 407-5600,Dr. Jeremiah Crider,Physician,,Dr. Sharon McCarroll,Physician,
Birmingham,Medical,Birmingham VA Medical Center,"700 19th St S, Birmingham, AL 35233",A major veterans' hospital providing comprehensive healthcare services to vets.,https://www.va.gov/birmingham-health-care/,info@va.gov,(205) 933-8101,Dr. Lisa Willett,Chief of Staff,,Dr. O.J. Dailey,Physician,
Birmingham,Medical,Cooper Green Mercy Health Services,"1515 6th Ave S, Birmingham, AL 35233",A county-affiliated outpatient clinic serving Jefferson County residents.,https://coopergreen.org/,info@coopergreen.org,(205) 930-3200,Dr. Raegan W. Durant,Medical Director,,Dr. Walter Wilson,Physician,
Birmingham,Medical,Grandview Medical Center,"3690 Grandview Pkwy, Birmingham, AL 35243",A modern 434-bed tertiary care hospital offering advanced medical technology.,https://www.grandviewhealth.com/,info@grandviewhealth.com,(205) 971-1000,Dr. Jeremy Rogers,Physician,,Dr. Michael Hanaway,Physician,
Birmingham,Medical,Princeton Baptist Medical Center,"701 Princeton Ave SW, Birmingham, AL 35211",A community hospital known for its cardiology and orthopedic programs.,https://www.brookwoodbaptisthealth.com/,info@brookwoodbaptisthealth.com,(205) 783-3000,Dr. William Sommerville,Physician,,Dr. Andrew Duxbury,Physician,
Birmingham,Medical,Southview Medical Group,"832 St Vincents Dr, Birmingham, AL 35205",A multi-specialty internal medicine practice located at St. Vincent's.,https://southviewmedical.com/,info@southviewmedical.com,(205) 933-4640,Dr. William Allen,Physician,,Dr. Mack Barnes,Physician,
Birmingham,Medical,St. Vincent's Birmingham,"810 St Vincents Dr, Birmingham, AL 35205",A faith-based acute care hospital with a focus on compassionate care.,https://healthcare.ascension.org/,info@ascension.org,(205) 939-7000,Dr. Andrew Cordover,Physician,,Dr. James Hansen,Physician,
Birmingham,Medical,The Kirklin Clinic of UAB Hospital,"2000 6th Ave S, Birmingham, AL 35233",A massive outpatient center housing hundreds of UAB medicine specialists.,https://www.uabmedicine.org/,info@uabmedicine.org,(205) 934-3411,Dr. Patricia Pritchett,Physician,,Dr. Tony Jones,Physician,
Birmingham,Medical,Total Skin & Beauty Dermatology,"2100 16th Ave S, Birmingham, AL 35205",A comprehensive dermatology center offering medical and cosmetic treatments.,https://totalskinandbeauty.com/,info@totalskinandbeauty.com,(205) 933-0987,Dr. Gary Monheit,Dermatologist,,Dr. James Krell,Dermatologist,
Birmingham,Medical,UAB Hospital,"1802 6th Ave S, Birmingham, AL 35233",An internationally renowned academic medical center and Level 1 trauma center.,https://www.uabmedicine.org/,info@uabmedicine.org,(205) 934-4011,Dr. Dawn Bulgarella,CEO (System),,Dr. Anupam Agarwal,Dean of Medicine,
